ID,exID
275,B_CpbA058010
279,B_CplB058010
282,B_CpwA058010
287,B_CpzA058010
292,B_DbaA090010
297,B_DbcA090010
302,B_DbiA090010
315,B_DbyA090010
318,B_DcrA030010
322,B_DdeA030010
324,B_DemA060010
326,B_DesB030010
331,B_DomA050010
332,B_DrbA070020
333,B_DrbA100010
335,B_DrlA120010
337,B_DrsA030010
341,B_DwcA080020
343,B_DwrA040010
344,B_DybA075020
346,B_DyrA045010
368,B_SbaA090010
370,B_SbeA010010
371,B_SbeA030010
372,B_ScfA150010
381,B_ShbZ030040
385,B_SloA120010
388,B_SmtA050010
389,B_SspA080010
392,B_SuvA030010
425,B_DboB090010
507,B_DhbZ006040
509,B_DhbZ008040
510,B_DhbZ009040
528,B_DhbZ042040
529,B_DhbZ045040
530,B_DhbZ047040
532,B_DhbZ061040
534,B_DhbZ063040
536,B_DhbZ076040
545,B_DhbZ097040
551,B_DhbZ140040
553,B_DhbZ154040
554,B_DhbZ157040
555,B_DhbZ159040
556,B_DhbZ160040
557,B_DhbZ161040
558,B_DhbZ162040
568,B_DhbZ184040
575,B_DhbZ203040
594,B_DhbZ234040
597,B_DhbZ237040
599,B_DhbZ239040
603,B_DhbZ243040
604,B_DhbZ244040
605,B_DhbZ245040
606,B_DhbZ246040
607,B_DhbZ247040
608,B_DhbZ248040
614,B_DhbZ254040
615,B_DhbZ255040
616,B_DhbZ256040
617,B_DhbZ257040
618,B_DhbZ259040
619,B_DhbZ260040
627,B_DhbZ268040
631,B_DhbZ272040
632,B_DhbZ273040
633,B_DhbZ274040
638,B_DhbZ280040
639,B_DhbZ281040
642,B_DhbZ284040
643,B_DhbZ285040
646,B_DhbZ290040
647,B_DhbZ291040
673,B_ChbZ002040
674,B_ChbZ003040
675,B_ChbZ004040
676,B_ChbZ005040
695,B_ChbZ063040
700,B_ChbZ081040
701,B_ChbZ082040
702,B_ChbZ083040
774,B_ShbZ004040
775,B_ShbZ005040
776,B_ShbZ007040
777,B_ShbZ008040
779,B_ShbZ010040
780,B_ShbZ012040
806,B_ShbZ064040
807,B_ShbZ065040
809,B_ShbZ067040
810,B_ShbZ068040
811,B_ShbZ069040
812,B_ShbZ070040
813,B_ShbZ071040
828,B_ShbZ086040
829,B_ShbZ087040
831,B_ShbZ089040
838,B_ShbZ096040
849,B_DhbZ258040
