ID,exID
149,R_DesB030010
150,R_DemA060010
151,R_DcrA030010
158,R_DbaA090010
159,R_DbcA090010
160,R_DbiA090010
164,R_DbyA090010
171,R_CplB058010
172,R_CpwA058010
173,R_CpbA058010
175,R_CpzA058010
179,R_DrbA100010
180,R_DrbA070020
181,R_DrsA030010
182,R_DomA050010
183,R_DwrA040010
185,R_SmtA050010
186,R_SbaA090010
187,R_ShbZ030040
190,R_SloA120010
192,R_SuvA030010
196,R_DyrA045010
210,R_DrlA120010
211,R_DdeA030010
217,R_DwcA080020
218,R_DybA075020
235,R_ScfA150010
238,R_SspA080010
239,R_SbeA030010
240,R_SbeA010010
269,R_DboB090010
301,R_ChbZ002040
302,R_ChbZ003040
303,R_ChbZ004040
304,R_ChbZ005040
305,R_ChbZ063040
306,R_ChbZ081040
307,R_ChbZ082040
308,R_ChbZ083040
316,R_DhbZ006040
317,R_DhbZ008040
318,R_DhbZ009040
319,R_DhbZ042040
320,R_DhbZ045040
321,R_DhbZ047040
322,R_DhbZ061040
323,R_DhbZ063040
324,R_DhbZ076040
325,R_DhbZ097040
326,R_DhbZ140040
327,R_DhbZ154040
328,R_DhbZ157040
329,R_DhbZ159040
330,R_DhbZ160040
331,R_DhbZ161040
332,R_DhbZ162040
333,R_DhbZ184040
334,R_DhbZ203040
335,R_DhbZ234040
337,R_DhbZ237040
338,R_DhbZ239040
339,R_DhbZ243040
340,R_DhbZ244040
341,R_DhbZ245040
342,R_DhbZ246040
343,R_DhbZ247040
344,R_DhbZ248040
345,R_DhbZ254040
346,R_DhbZ255040
347,R_DhbZ256040
348,R_DhbZ257040
349,R_DhbZ258040
350,R_DhbZ259040
351,R_DhbZ260040
352,R_DhbZ268040
353,R_DhbZ272040
354,R_DhbZ273040
355,R_DhbZ274040
356,R_DhbZ280040
357,R_DhbZ281040
358,R_DhbZ284040
359,R_DhbZ285040
360,R_DhbZ290040
361,R_DhbZ291040
362,R_ShbZ004040
363,R_ShbZ005040
364,R_ShbZ007040
365,R_ShbZ008040
366,R_ShbZ010040
367,R_ShbZ012040
368,R_ShbZ064040
369,R_ShbZ065040
370,R_ShbZ067040
371,R_ShbZ068040
372,R_ShbZ069040
373,R_ShbZ070040
374,R_ShbZ071040
375,R_ShbZ086040
376,R_ShbZ087040
377,R_ShbZ089040
378,R_ShbZ096040
