ID,exID
151956,151956
151957,151957
151958,151958
151959,151959
152056,152056
152057,152057
152058,152058
152059,152059
152060,152060
152061,152061
152062,152062
152063,152063
152064,152064
152065,152065
152066,152066
152067,152067
152068,152068
152069,152069
152070,152070
152071,152071
152072,152072
152073,152073
152074,152074
152075,152075
152076,152076
152077,152077
152078,152078
152079,152079
152080,152080
152081,152081
152082,152082
152083,152083
152084,152084
152085,152085
152086,152086
152087,152087
152088,152088
152089,152089
152090,152090
152091,152091
152092,152092
152093,152093
152094,152094
152095,152095
152096,152096
152097,152097
152098,152098
152099,152099
152100,152100
152101,152101
152102,152102
152103,152103
152104,152104
152105,152105
152106,152106
152107,152107
152108,152108
152109,152109
152110,152110
152111,152111
152112,152112
152113,152113
152114,152114
152115,152115
152116,152116
152117,152117
152118,152118
152119,152119
152120,152120
152121,152121
152122,152122
152123,152123
152124,152124
152125,152125
152126,152126
152127,152127
152128,152128
152129,152129
152130,152130
152131,152131
152132,152132
152133,152133
152134,152134
152135,152135
152136,152136
152137,152137
152138,152138
152139,152139
152140,152140
152141,152141
152142,152142
152143,152143
152144,152144
152145,152145
152146,152146
152147,152147
152148,152148
152149,152149
152150,152150
152151,152151
152152,152152
152153,152153
152154,152154
152155,152155
152156,152156
152157,152157
152158,152158
152159,152159
152160,152160
152161,152161
152162,152162
152163,152163
152164,152164
152165,152165
152166,152166
152167,152167
152168,152168
152169,152169
152170,152170
152171,152171
152172,152172
152173,152173
152174,152174
152175,152175
152176,152176
152177,152177
152178,152178
152179,152179
152180,152180
152181,152181
152182,152182
152183,152183
152184,152184
152185,152185
152186,152186
152187,152187
152188,152188
152189,152189
152190,152190
152191,152191
152192,152192
152193,152193
152194,152194
152195,152195
152196,152196
152197,152197
152198,152198
152199,152199
152200,152200
152201,152201
152202,152202
152203,152203
152204,152204
152205,152205
152206,152206
152207,152207
152208,152208
152209,152209
152210,152210
152211,152211
152212,152212
152213,152213
152214,152214
152215,152215
152216,152216
152217,152217
152218,152218
152219,152219
152220,152220
152221,152221
152222,152222
152223,152223
152224,152224
152225,152225
152226,152226
152227,152227
152228,152228
152229,152229
152230,152230
152231,152231
152232,152232
152233,152233
152234,152234
152235,152235
152236,152236
152237,152237
152238,152238
152239,152239
152240,152240
152241,152241
152242,152242
152243,152243
152244,152244
152245,152245
152246,152246
152247,152247
152248,152248
152249,152249
152250,152250
152251,152251
152252,152252
152253,152253
152254,152254
152255,152255
152256,152256
152257,152257
152258,152258
152259,152259
152260,152260
152261,152261
152262,152262
152263,152263
152264,152264
152265,152265
152266,152266
152267,152267
152268,152268
152269,152269
152270,152270
152271,152271
152272,152272
152273,152273
152274,152274
152275,152275
152276,152276
152277,152277
152278,152278
152279,152279
152280,152280
152281,152281
152282,152282
152283,152283
152284,152284
152285,152285
152286,152286
152287,152287
152288,152288
152289,152289
152290,152290
152291,152291
152292,152292
152293,152293
152294,152294
152295,152295
152296,152296
152297,152297
152298,152298
152299,152299
152300,152300
152301,152301
152302,152302
152303,152303
152304,152304
152305,152305
152306,152306
152307,152307
152308,152308
152309,152309
152310,152310
152311,152311
152312,152312
152313,152313
152314,152314
152315,152315
152316,152316
152317,152317
152318,152318
152319,152319
152320,152320
152321,152321
152322,152322
152323,152323
152324,152324
152325,152325
152326,152326
152327,152327
152328,152328
152329,152329
152330,152330
152331,152331
152332,152332
152333,152333
152334,152334
152335,152335
152336,152336
152337,152337
152338,152338
152339,152339
152340,152340
152341,152341
152342,152342
152343,152343
152344,152344
152345,152345
152346,152346
152347,152347
152348,152348
152349,152349
152350,152350
152351,152351
152352,152352
152353,152353
152354,152354
152355,152355
152356,152356
152357,152357
152358,152358
152359,152359
152360,152360
152361,152361
152362,152362
152363,152363
152364,152364
152365,152365
152366,152366
152367,152367
152368,152368
152369,152369
152370,152370
152371,152371
152372,152372
152373,152373
152374,152374
152375,152375
152376,152376
152377,152377
152378,152378
152379,152379
152380,152380
152381,152381
152382,152382
152383,152383
152384,152384
152385,152385
152386,152386
