?ªøÂÜ?ÈÉ®ID,ÂêçÂâç
1106101,1106101
1106126,1106126
1106084,1106084
1106122,1106122
1106083,1106083
1106046,1106046
1106048,1106048
1106381,1106381
1106278,1106278
1106052,1106052
1106094,1106094
1106167,1106167
1106062,1106062
1106132,1106132
1106072,1106072
1106023,1106023
1106144,1106144
1106139,1106139
1106188,1106188
1106238,1106238
1106136,1106136
1106119,1106119
1106161,1106161
1106263,1106263
1106108,1106108
1106038,1106038
1106131,1106131
1107301,1107301
1106025,1106025
1106092,1106092
1106125,1106125
1106063,1106063
1106292,1106292
1111876,1111876
1106070,1106070
1102919,1102919
1106040,1106040
1106058,1106058
1112235,1112235
1106146,1106146
1102714,1102714
1106177,1106177
1102937,1102937
1102883,1102883
1102677,1102677
1102922,1102922
1106164,1106164
1102731,1102731
1106607,1106607
1111884,1111884
1102945,1102945
1102756,1102756
1102748,1102748
1103065,1103065
1102662,1102662
1111885,1111885
1103068,1103068
1106162,1106162
1106039,1106039
1102875,1102875
1102911,1102911
1106246,1106246
1106134,1106134
1111901,1111901
1102931,1102931
1106055,1106055
1102734,1102734
1102928,1102928
1102702,1102702
1106173,1106173
1102664,1102664
1112226,1112226
1102892,1102892
1102944,1102944
1106074,1106074
1102685,1102685
1111882,1111882
1106298,1106298
1115025,1115025
1102707,1102707
1102877,1102877
1106114,1106114
1106166,1106166
1106180,1106180
1106045,1106045
1102948,1102948
1114972,1114972
1102940,1102940
1106050,1106050
1111887,1111887
1106018,1106018
1102679,1102679
1106007,1106007
1106127,1106127
1102759,1102759
1106138,1106138
1102711,1102711
1106135,1106135
1106330,1106330
1106128,1106128
1102885,1102885
1102696,1102696
1106216,1106216
1102905,1102905
1102693,1102693
1106311,1106311
1102735,1102735
1106371,1106371
1102869,1102869
1102560,1102560
1106067,1106067
1102697,1102697
1106077,1106077
1102868,1102868
1112236,1112236
1102880,1102880
1106255,1106255
1112233,1112233
1102884,1102884
1106053,1106053
1102887,1102887
1102750,1102750
1106141,1106141
1106093,1106093
1106174,1106174
1106020,1106020
1106123,1106123
1102947,1102947
1102699,1102699
1106064,1106064
1106142,1106142
1102758,1102758
1114973,1114973
1112232,1112232
1102736,1102736
1115156,1115156
1106176,1106176
1106112,1106112
1111883,1111883
1102865,1102865
1102956,1102956
1102701,1102701
1106068,1106068
1102749,1102749
1102710,1102710
1103074,1103074
1112248,1112248
1102717,1102717
1106065,1106065
1106035,1106035
1102900,1102900
1102663,1102663
1102698,1102698
1106374,1106374
1102760,1102760
1106140,1106140
1106044,1106044
1102949,1102949
1103071,1103071
1106120,1106120
1114991,1114991
1106102,1106102
1111896,1111896
1102934,1102934
1115026,1115026
1102712,1102712
1106047,1106047
1102740,1102740
1106309,1106309
1102871,1102871
1102665,1102665
