ì‡ïîID,ì¸óÕî‘çÜ
197705,J00001820211001
197706,J00001920211001
197707,J00002020211001
197708,J00002120211001
197709,J00002220211001
197710,J00002320211001
198009,J00002720211001
197805,J00002820211004
198010,J00003120211001
198011,J00003220211003
197806,J00003620211004
198012,J00003820211004
197807,J00004320211007
198013,J00004420211005
198014,J00004520211006
198015,J00005420211007
198016,J00005520211008
198017,J00006420211008
198018,J00006520211009
198019,J00007220211011
197808,J00007320211012
197915,J00007420211011
197905,J00007520211001
197916,J00007620211012
197910,J00008220211006
197906,J00008320211001
197908,J00008420211004
197912,J00008520211007
197913,J00008620211007
197914,J00008720211008
197809,J00009320211013
198020,J00009420211012
197810,J00009520211013
197907,J00009920211001
197911,J00010020211006
197909,J00010320211004
198021,J00010720211013
197811,J00010820211014
197812,J00010920211014
198022,J00011020211014
198023,J00011120211015
197813,J00011320211018
198024,J00011420211015
198025,J00011520211016
198026,J00012320211018
198027,J00013920211019
197814,J00014020211020
198028,J00014420211020
198029,J00014520211021
198030,J00014620211022
197815,J00014820211022
197816,J00014920211022
198031,J00015020211022
197919,J00015620211015
197922,J00015720211018
197920,J00015820211015
197917,J00015920211014
197921,J00016020211015
197923,J00016120211018
197924,J00016220211020
197925,J00016320211025
197918,J00016420211014
198032,J00016520211025
197926,J00017420211027
197817,J00018120211027
198033,J00018320211026
